"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Da Costa I.D.; Nunes N.N.D.S.","Da Costa, Igor David (34976413900); Nunes, Natalia Neto Dos Santos (57553131200)","34976413900; 57553131200","Niche partitioning of two piscivorous fish species in a river in the western Brazilian Amazon","2022","Iheringia - Serie Zoologia","112","","e2022002","","","","0","10.1590/1678-4766e2022002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130746906&doi=10.1590%2f1678-4766e2022002&partnerID=40&md5=b0cb3e6dc85e023287f2bd4331f83690","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85130746906"
"Endrédi A.; Patonai K.; Podani J.; Libralato S.; Jordán F.","Endrédi, Anett (57197793163); Patonai, Katalin (40661899000); Podani, János (6701538786); Libralato, Simone (12142364900); Jordán, Ferenc (7102620694)","57197793163; 40661899000; 6701538786; 12142364900; 7102620694","Who Is Where in Marine Food Webs? A Trait-Based Analysis of Network Positions","2021","Frontiers in Marine Science","8","","636042","","","","4","10.3389/fmars.2021.636042","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116456505&doi=10.3389%2ffmars.2021.636042&partnerID=40&md5=aa163024a12c8372cd3f41c09306e271","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85116456505"
"Geraci M.L.; Falsone F.; Gancitano V.; Scannella D.; Fiorentino F.; Vitale S.","Geraci, Michele L. (57190255054); Falsone, Fabio (57193675745); Gancitano, Vita (55817118500); Scannella, Danilo (57193664431); Fiorentino, Fabio (7003857609); Vitale, Sergio (36193407600)","57190255054; 57193675745; 55817118500; 57193664431; 7003857609; 36193407600","Assessing Cephalopods Fisheries in the Strait of Sicily by Using Poor Data Modeling","2021","Frontiers in Marine Science","8","","584657","","","","7","10.3389/fmars.2021.584657","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120880941&doi=10.3389%2ffmars.2021.584657&partnerID=40&md5=3767afadacc17c01a1275568705ca316","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85120880941"
"Aruga N.; Hirose E.","Aruga, Nodoka (57224005694); Hirose, Euichi (7005182620)","57224005694; 7005182620","How to Wear a Sandy Coat: Secretory Cells in the Dorsal Epidermis in the Sea Cucumber Holothuria atra (Echinodermata: Holothuroidea)","2021","Zoological Science","38","3","","252","258","6","2","10.2108/zs200171","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106703206&doi=10.2108%2fzs200171&partnerID=40&md5=acc987ab1fa092055c3f743a4cb9f28a","Article","Final","","Scopus","2-s2.0-85106703206"
"Tai T.C.; Sumaila U.R.; Cheung W.W.L.","Tai, Travis C. (57197731799); Sumaila, U. Rashid (6701840163); Cheung, William W. L. (57201781940)","57197731799; 6701840163; 57201781940","Ocean Acidification Amplifies Multi-Stressor Impacts on Global Marine Invertebrate Fisheries","2021","Frontiers in Marine Science","8","","596644","","","","9","10.3389/fmars.2021.596644","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111311885&doi=10.3389%2ffmars.2021.596644&partnerID=40&md5=9cedfa979d9b14e59c6c95a6b9ebc46a","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85111311885"
"Pita I.; Mouillot D.; Moullec F.; Shin Y.-J.","Pita, Ignacio (57226698881); Mouillot, David (6701389009); Moullec, Fabien (57193732595); Shin, Yunne-Jai (7402816212)","57226698881; 6701389009; 57193732595; 7402816212","Contrasted patterns in climate change risk for Mediterranean fisheries","2021","Global Change Biology","27","22","","5920","5933","13","9","10.1111/gcb.15814","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112361013&doi=10.1111%2fgcb.15814&partnerID=40&md5=fa29e64f325359ea11b9aa8b3d9d6a01","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85112361013"
"Hamacher C.; Farias C.O.; Araújo M.P.; Pitta J.P.M.P.; Dos Santos C.A.P.; Soares M.L.G.","Hamacher, Cláudia (6602601336); Farias, Cássia O. (22984762600); Araújo, Michelle P. (35955664200); Pitta, João Pedro M. P. (57974218200); Dos Santos, Carlos Alberto P. (57982084400); Soares, Mário Luiz Gomes (8068566200)","6602601336; 22984762600; 35955664200; 57974218200; 57982084400; 8068566200","Community-based assessment of marine resources contamination after a large-scale oil spill","2022","Anais da Academia Brasileira de Ciencias","94","","e20211392","","","","1","10.1590/0001-3765202220211392","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142402286&doi=10.1590%2f0001-3765202220211392&partnerID=40&md5=0a8645390a4814a3c90d5d50d2bf1488","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85142402286"
"Thompson C.D.H.; Meeuwig J.J.; Brown J.; Richardson A.J.; Friedlander A.M.; Miller P.I.; Weber S.B.","Thompson, Christopher D. H. (57201461386); Meeuwig, Jessica J. (6603379568); Brown, Judith (7409450744); Richardson, Andrew J. (57203096738); Friedlander, Alan M. (7103159778); Miller, Peter I. (7404427354); Weber, Sam B. (47761578500)","57201461386; 6603379568; 7409450744; 57203096738; 7103159778; 7404427354; 47761578500","Spatial Variation in Pelagic Wildlife Assemblages in the Ascension Island Marine Protected Area: Implications for Monitoring and Management","2021","Frontiers in Marine Science","8","","634599","","","","8","10.3389/fmars.2021.634599","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108893479&doi=10.3389%2ffmars.2021.634599&partnerID=40&md5=1d448c1d80eb3179eef2880d4e262ed6","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85108893479"
"Free C.M.; Cabral R.B.; Froehlich H.E.; Battista W.; Ojea E.; O’Reilly E.; Palardy J.E.; García Molinos J.; Siegel K.J.; Arnason R.; Juinio-Meñez M.A.; Fabricius K.; Turley C.; Gaines S.D.","Free, Christopher M. (55900547100); Cabral, Reniel B. (35338938000); Froehlich, Halley E. (55818148100); Battista, Willow (57189587597); Ojea, Elena (14037994200); O’Reilly, Erin (57218570655); Palardy, James E. (8973238800); García Molinos, Jorge (35336290000); Siegel, Katherine J. (56640975900); Arnason, Ragnar (6602705558); Juinio-Meñez, Marie Antonette (6602207943); Fabricius, Katharina (7005896357); Turley, Carol (24282211700); Gaines, Steven D. (35554794700)","55900547100; 35338938000; 55818148100; 57189587597; 14037994200; 57218570655; 8973238800; 35336290000; 56640975900; 6602705558; 6602207943; 7005896357; 24282211700; 35554794700","Expanding ocean food production under climate change","2022","Nature","605","7910","","490","496","6","16","10.1038/s41586-022-04674-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128820039&doi=10.1038%2fs41586-022-04674-5&partnerID=40&md5=4d864e4a2a85729c568ba372dff5f142","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85128820039"
"Hsu H.H.; Nazeer Z.; Panickan P.; Lin Y.-J.; Qasem A.; Rabaoui L.J.; Qurban M.A.","Hsu, Hua Hsun (15839481500); Nazeer, Zahid (36091438400); Panickan, Premlal (56983032400); Lin, Yu-Jia (34875242700); Qasem, Ali (56151157100); Rabaoui, Lotfi Jilani (19337361500); Qurban, Mohammad Ali (57212567148)","15839481500; 36091438400; 56983032400; 34875242700; 56151157100; 19337361500; 57212567148","Stomach Content Analysis for Juvenile Great Hammerhead Sharks Sphyrna mokarran (Rüppell, 1837) from the Arabian Gulf","2022","Fishes","7","6","359","","","","1","10.3390/fishes7060359","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144679248&doi=10.3390%2ffishes7060359&partnerID=40&md5=2c43189855aa82bb2f73d6e980812219","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85144679248"
